, Territoire-de-Belfort, Ille-et-Vilaine, Ardèche, Hauts-de-Seine, La Réunion, Puy-de-Dôme, Essonne, Haut-Rhin, Haute-Marne, Hautes-Pyrénées, Saint-Pierre-et-Miquelon, Nord, Alpes-Maritimes, Bas-Rhin, Drôme, Deux-Sèvres, Oise, Seine-et-Marne, Aude, Meurthe-et-Moselle, Charente-Maritime, Nièvre, Yvelines, Aveyron, Vendée, Bouches-du-Rhône, Indre-et-Loire, Français établis hors de France, Lot-et-Garonne, Landes, Tarn, Vosges, Moselle, Somme, Haute-Garonne, Manche, Eure, Marne, Loire, Gironde, Paris, Pas-de-Calais, Cantal, Ain, Saône-et-Loire, Gard, Sarthe, Seine-Maritime, Calvados, Aisne, Val-d'Oise, Seine-St-Denis, Finistère, Loire-Atlantique, Hérault, Morbihan, Côte-d'Or, Haute-Loire, Guadeloupe, Polynésie française, Martinique, Nouvelle-Calédonie, Mayotte, Rhône, Orne, Loiret, Pyrénées-Atlantiques, Jura, Indre, Val-de-Marne, Corrèze, Aube, Isère, Vienne, Doubs, Var, Savoie, Maine-et-Loire, Hautes-Alpes, Ardennes, Guyane, Haute-Saône, Loir-et-Cher, Lozère, Mayenne, Vaucluse, Gers, Meuse, Allier, Dordogne, Eure-et-Loir, Saint-Barthélemy et Saint-Martin, Charente, Cher, Haute-Corse, Pyrénées-Orientales, Yonne, Côtes d'Armor, Haute-Savoie, Haute-Vienne, Corse-du-Sud, Tarn-et-Garonne, Lot, Creuse, Wallis-et-Futuna, Côtes-du-Nord, Ariège, Basses-Alpes, Alpes-de-Haute-Provence, Territoire français des Affars et des Issas, Seine, Anciens départements d'Algérie, Basses-Pyrénées, Haute-Volta, Seine-et-Oise, Soudan, Niger, Guinée, Corse, Cameroun, Côte française des Somalis, Côte-d'Ivoire, Tchad, Loire-Inférieure, Seine-Inférieure, Madagascar, Comores, Mauritanie, Dahomey, Sénégal, Togo, Dahomey-Togo, Gabon, Soudan-Niger, Oubangui-Chari, Oubangui-Chari-Tchad, Citoyens français du Maroc, Etablissements français de l’Inde, Sénégal-Mauritanie, Gabon-Moyen-Congo, Cochinchine française, Moyen-Congo, Etablissements français d'Océanie, Citoyens français de Tunisie, Charente-Inférieure, Meurthe, Départements de l'Empire français aujourd'hui en Italie, Départements de l'Empire français aujourd'hui en Belgique, Mont-Blanc, Départements de l'Empire français aujourd'hui aux Pays-Bas, Départements de l'Empire français aujourd'hui en Allemagne, Saint-Domingue, Etranger, Départements de l'Empire français aujourd'hui en Suisse, Rhône-et-Loire, Départements de l'Empire français aujourd'hui au Luxembourg, Ile-de-France (Maurice)
age moyen des deputes,46.97612936344971,47.33333092748907,52.58476831249779,54.07679130074978,47.35634142013334,49.26695501478147,47.78232548123879,49.510649939170776,49.61440612114659,47.61040942044172,47.74737104100553,50.409948792050116,52.43401913811382,47.69088077453408,49.59532459327122,46.14092273229854,50.03852077081027,48.79751013255643,49.260427471651276,52.338379256005005,49.98171066343552,48.82933029975648,53.7439082819986,50.051229241238964,49.47880553300545,48.84633469081287,48.56343955180368,55.18740588637919,47.781689233730084,49.679650716611725,47.21166745643128,48.63647252815634,48.66437436235196,49.87016793476871,49.97455187952298,55.75756449290749,50.4833048421521,48.358941435107766,48.622829069834374,49.9733899379784,52.248561750820485,50.37601978268781,48.10122936611644,49.75272995314063,50.76842250558881,47.67778012922807,47.71433728006099,53.165507380371324,48.12431952884532,49.24861744592444,49.729876000827716,51.24600001029268,49.04550064325159,53.66981905119973,50.20612883563025,50.12046230208145,52.700897385580056,47.096427687244244,48.37659014250391,51.71565463967928,53.90340862422997,52.7034510167583,49.56632443531828,51.10205953070432,51.28376212908162,50.221782018762326,52.344720303652544,48.042926796292065,48.26367269435431,53.06883588690569,47.16150561735778,51.327676830291985,48.80658611276999,49.066261862325874,48.33191687580805,49.15576415371076,59.03862720289828,51.041595277643275,46.8916982096765,50.3678122282549,47.01074187375154,49.1552426583227,48.85957707410209,47.36549078434507,48.23063655030802,48.34558215084743,48.04544627224182,49.153834317580056,46.36929058612312,49.594513717359874,49.98240308630452,,48.12732254420402,52.23888012389035,64.58161473677946,49.93462865319066,48.862315026366254,50.614761578827284,49.37286522762556,39.75845311430525,59.737310421845166,46.592615551509056,48.45439128791364,47.2358496038237,48.26955385476946,47.85902212177311,47.96523932901157,48.50078862006369,55.715871929424296,39.97809719370294,48.76882114657387,47.844886890373346,47.3003171208826,40.15989048596852,47.88717507919074,46.75872689938399,32.75701574264202,44.56462907386932,47.12011824341083,45.89933835272644,42.2673315732864,42.51403148528406,38.58140217072455,48.92973810295765,50.79977395680337,47.811909650924036,51.297832534793535,37.72689938398357,39.226361591864666,47.24242654701246,38.177503992699066,43.89322381930185,41.33367556468173,43.07939767282683,42.99794661190965,44.76317590691307,45.95482546201233,46.61571883462786,46.7460643394935,48.16153319644079,53.40378736025553,49.5325119780972,51.52197125256674,70.4851471594798,49.0941115466783,49.04202983874439,47.71745379876798,44.77586234340925,43.130093543235226,48.8347022587269,51.882537369455314,35.140657084188916,38.94455852156057,44.386285856511726,36.50217947332397,49.342573579739906,38.56125941136208
nombre_mandat,64.0,572.0,331.0,184.0,139.0,475.0,92.0,325.0,208.0,251.0,23.0,1302.0,257.0,424.0,288.0,287.0,423.0,386.0,295.0,267.0,114.0,289.0,165.0,335.0,351.0,607.0,329.0,7.0,274.0,265.0,329.0,355.0,426.0,484.0,484.0,465.0,411.0,389.0,434.0,656.0,395.0,733.0,233.0,328.0,487.0,366.0,404.0,194.0,497.0,456.0,87.0,139.0,580.0,145.0,405.0,442.0,368.0,241.0,115.0,28.0,106.0,31.0,12.0,631.0,344.0,343.0,71.0,246.0,249.0,133.0,276.0,267.0,505.0,305.0,294.0,349.0,198.0,473.0,169.0,284.0,50.0,252.0,230.0,168.0,300.0,269.0,269.0,258.0,314.0,424.0,276.0,1.0,331.0,262.0,24.0,200.0,357.0,26.0,164.0,322.0,19.0,212.0,271.0,236.0,11.0,452.0,192.0,184.0,9.0,4.0,1635.0,316.0,344.0,15.0,520.0,16.0,8.0,13.0,212.0,15.0,7.0,12.0,7.0,382.0,569.0,30.0,15.0,4.0,7.0,28.0,3.0,5.0,8.0,4.0,4.0,8.0,6.0,23.0,4.0,4.0,15.0,4.0,5.0,20.0,330.0,147.0,89.0,98.0,48.0,27.0,31.0,20.0,2.0,11.0,20.0,8.0,2.0
nombre député,27.0,216.0,132.0,67.0,50.0,209.0,38.0,157.0,94.0,103.0,13.0,550.0,100.0,197.0,133.0,124.0,162.0,174.0,142.0,104.0,45.0,125.0,73.0,145.0,147.0,263.0,131.0,7.0,130.0,104.0,149.0,159.0,184.0,203.0,223.0,177.0,173.0,156.0,206.0,302.0,174.0,314.0,99.0,145.0,230.0,175.0,175.0,80.0,200.0,190.0,39.0,53.0,255.0,56.0,183.0,200.0,158.0,119.0,56.0,14.0,44.0,9.0,6.0,292.0,137.0,140.0,27.0,113.0,115.0,48.0,120.0,119.0,242.0,133.0,133.0,167.0,64.0,192.0,80.0,130.0,24.0,109.0,98.0,71.0,137.0,118.0,128.0,107.0,159.0,175.0,126.0,1.0,134.0,124.0,11.0,80.0,147.0,15.0,58.0,135.0,8.0,84.0,120.0,103.0,3.0,213.0,88.0,90.0,7.0,3.0,804.0,207.0,142.0,5.0,252.0,6.0,3.0,8.0,99.0,6.0,5.0,6.0,4.0,171.0,249.0,17.0,4.0,2.0,2.0,14.0,2.0,3.0,4.0,3.0,1.0,2.0,5.0,14.0,2.0,1.0,7.0,1.0,3.0,2.0,135.0,74.0,89.0,83.0,34.0,26.0,31.0,15.0,2.0,10.0,17.0,7.0,2.0
nombre moyen de mandats par député,2.3703703703703702,2.6481481481481484,2.507575757575758,2.746268656716418,2.78,2.272727272727273,2.4210526315789473,2.070063694267516,2.2127659574468086,2.436893203883495,1.7692307692307692,2.367272727272727,2.57,2.1522842639593907,2.1654135338345863,2.314516129032258,2.611111111111111,2.218390804597701,2.0774647887323945,2.5673076923076925,2.533333333333333,2.312,2.26027397260274,2.310344827586207,2.3877551020408165,2.307984790874525,2.5114503816793894,1.0,2.1076923076923078,2.548076923076923,2.208053691275168,2.2327044025157234,2.3152173913043477,2.3842364532019706,2.1704035874439462,2.6271186440677967,2.3757225433526012,2.4935897435897436,2.1067961165048543,2.172185430463576,2.2701149425287355,2.3343949044585988,2.3535353535353534,2.2620689655172415,2.117391304347826,2.0914285714285716,2.3085714285714287,2.425,2.485,2.4,2.230769230769231,2.6226415094339623,2.2745098039215685,2.5892857142857144,2.2131147540983607,2.21,2.329113924050633,2.0252100840336134,2.0535714285714284,2.0,2.409090909090909,3.4444444444444446,2.0,2.160958904109589,2.510948905109489,2.45,2.6296296296296298,2.1769911504424777,2.1652173913043478,2.7708333333333335,2.3,2.2436974789915967,2.0867768595041323,2.293233082706767,2.210526315789474,2.089820359281437,3.09375,2.4635416666666665,2.1125,2.1846153846153844,2.0833333333333335,2.311926605504587,2.3469387755102042,2.3661971830985915,2.18978102189781,2.2796610169491527,2.1015625,2.411214953271028,1.9748427672955975,2.422857142857143,2.1904761904761907,1.0,2.470149253731343,2.1129032258064515,2.1818181818181817,2.5,2.4285714285714284,1.7333333333333334,2.8275862068965516,2.3851851851851853,2.375,2.5238095238095237,2.2583333333333333,2.29126213592233,3.6666666666666665,2.1220657276995305,2.1818181818181817,2.0444444444444443,1.2857142857142858,1.3333333333333333,2.033582089552239,1.5265700483091786,2.4225352112676055,3.0,2.0634920634920637,2.6666666666666665,2.6666666666666665,1.625,2.1414141414141414,2.5,1.4,2.0,1.75,2.2339181286549707,2.285140562248996,1.7647058823529411,3.75,2.0,3.5,2.0,1.5,1.6666666666666667,2.0,1.3333333333333333,4.0,4.0,1.2,1.6428571428571428,2.0,4.0,2.142857142857143,4.0,1.6666666666666667,10.0,2.4444444444444446,1.9864864864864864,1.0,1.180722891566265,1.411764705882353,1.0384615384615385,1.0,1.3333333333333333,1.0,1.1,1.1764705882352942,1.1428571428571428,1.0
locaux,0.0,0.0,0.5033112582781457,0.0,0.0,0.0,0.2222222222222222,0.8025078369905956,0.6262626262626263,0.40607734806629836,0.0,0.8338826631509558,0.740909090909091,0.75,0.6169491525423729,0.6092896174863388,0.33587786259541985,0.0,0.738562091503268,0.0,0.019230769230769232,0.5339233038348082,0.08849557522123894,0.8006042296072508,0.711764705882353,0.0,0.0,0.0,0.0,0.6679389312977099,0.6629213483146067,0.670487106017192,0.5485714285714286,0.681640625,0.5370018975332068,0.7441016333938294,0.48,0.563855421686747,0.7620192307692307,0.6787974683544303,0.07453416149068323,0.0,0.7315175097276264,0.7275541795665634,0.0,0.7450980392156863,0.568922305764411,0.01282051282051282,0.5027777777777778,0.556935817805383,0.0,0.0,0.7981790591805766,0.05365853658536585,0.5763546798029556,0.5526932084309133,0.0,0.8008130081300813,0.7698412698412699,0.0,0.9238095238095239,1.0,0.4166666666666667,0.36551724137931035,0.5118343195266272,0.5105105105105106,0.0,0.7041666666666667,0.6163793103448276,0.0,0.6677524429967426,0.5665399239543726,0.765625,0.7491408934707904,0.6702508960573477,0.6284916201117319,0.4686192468619247,0.0,0.7098765432098766,0.6277602523659306,0.8297872340425532,0.5910780669144982,0.0,0.5214723926380368,0.7279151943462897,0.6563573883161512,0.7034220532319392,0.7034482758620689,0.7289719626168224,0.684596577017115,0.0,0.0,0.6216216216216216,0.5384615384615384,0.8214285714285714,0.7628865979381443,0.5055187637969095,0.0,0.7449664429530202,0.563922942206655,0.0,0.0,0.6879432624113475,0.7186147186147186,0.0,0.0,0.776595744680851,0.5050505050505051,0.0,0.0,0.3141141141141141,0.0,0.7354368932038835,0.0,0.0,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.4854111405835544,0.6003490401396161,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.6060606060606061,0.6275862068965518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
