,Nom,Né le,Département de naissance,Département de mort
49,Jean-Philippe Mallé,31 octobre 1963,Basses-Pyrénées,Inconnu
50,Mireille Clapot,14 octobre 1963,Ain,Inconnu
51,Frédéric Lefebvre,14 octobre 1963,Inconnu,Inconnu
52,Patrick Lebreton,6 septembre 1963,La,Inconnu
53,Christophe Borgel,3 septembre 1963,Vienne,Inconnu
54,Jean-Louis Costes,23 août 1963,Inconnu,Inconnu
55,Sophie Auconie,19 août 1963,Inconnu,Inconnu
56,Véronique Besse,11 août 1963,Vendée,Inconnu
57,Monique Lubin,16 juillet 1963,Inconnu,Inconnu
58,Philippe Folliot,14 juillet 1963,Tarn,Inconnu
