,Nom,Né le,Département de naissance,Département de mort,nombre de mandat,age en année,premier dpt,élection locale
2405,Camille Darsières,19 mai 1932,Martinique,Lieu,2.0,60.714579055441476, Martinique,True
2406,Hubert Bassot,17 mai 1932,Seine,Orne,2.0,45.83709787816564, Orne,False
2407,Roger Lestas,12 mai 1932,Mayenne,Mayenne,5.0,48.17522245037645, Mayenne,True
2408,Maurice Giro,28 avril 1932,Inconnu,Inconnu,1.0,70.1409993155373, Vaucluse,False
2409,Jean-Claude Simon,11 avril 1932,Haute-Loire,Haute-Loire,1.0,40.251882272416154, Haute-Loire,True
2410,Jean Bousquet,30 mars 1932,Gard,Inconnu,3.0,53.8507871321013, Gard,True
2411,"Colette, Marie, Françoise Le Moal Née Amicel",27 mars 1932,Seine,Inconnu,1.0,76.06297056810403, Yvelines,False
2412,Denise Cacheux,18 mars 1932,Meurthe,Inconnu,3.0,49.35249828884326, Nord,False
2413,René Galy-Dejean,16 mars 1932,Gers,Inconnu,4.0,59.044490075290895, Paris,False
2414,Roger Julien,11 mars 1932,Aveyron,Hérault,1.0,30.05886379192334, Aveyron,True
2415,Jacques Jouve,10 mars 1932,Cantal,Haute-Vienne,1.0,45.45653661875428, Haute-Vienne,False
2416,José Moustache,2 mars 1932,Guadeloupe,Guadeloupe,1.0,46.12183436002738, Guadeloupe,True
2417,Henri Modiano,28 février 1932,Seine,Inconnu,1.0,36.336755646817245, Paris,False
2418,Bernard Deschamps,17 février 1932,Inconnu,Inconnu,2.0,46.04243668720055, Gard,False
2419,Guy Bégué,11 février 1932,Charente,Inconnu,1.0,35.657768651608485, Lot-et-Garonne,False
2420,Lucien Guichon,9 février 1932,Ain,Ain,5.0,54.04791238877481, Ain,True
2421,Jacques Trorial,8 février 1932,Meurthe,Inconnu,2.0,34.5845311430527, Meurthe-et-Moselle,False
2422,René Bourget,6 février 1932,Isère,Inconnu,2.0,50.03422313483915, Isère,True
2423,Pierre Montastruc,17 janvier 1932,Haute-Garonne,Inconnu,2.0,53.98220396988364, Haute-Garonne,True
2424,Max Gallo,7 janvier 1932,Alpes-Maritimes,Alpes-Maritimes,1.0,48.60506502395619, Alpes-Maritimes,True
2425,André Delattre,27 décembre 1931,Nord,Nord,1.0,56.5886379192334, Nord,True
2426,Charles Cova,9 décembre 1931,Ain,Inconnu,3.0,61.399041752224505, Seine-et-Marne,False
2427,Jean-Claude Abrioux,1er décembre 1931,Inconnu,Inconnu,3.0,62.064339493497606, Seine-St-Denis,False
2428,Jacques Dondoux,16 novembre 1931,Ardèche,Inconnu,,,,False
2429,Thérèse Aillaud,5 novembre 1931,Inconnu,Inconnu,1.0,61.738535249828885, Bouches-du-Rhône,False
2430,Robert Savy,28 octobre 1931,Haute-Vienne,Inconnu,1.0,56.62696783025325, Haute-Vienne,True
2431,Jacques Peyrat,18 octobre 1931,Inconnu,Inconnu,2.0,54.299794661190965, Alpes-Maritimes,False
2432,Marc Bécam,9 octobre 1931,Finistère,Inconnu,5.0,35.90143737166324, Finistère,True
2433,Jean Antagnac,9 octobre 1931,Aude,Aude,1.0,42.79808350444901, Aude,True
2434,Pierre-Rémy Houssin,4 octobre 1931,Charente-Inférieure,Inconnu,3.0,54.822724161533195, Charente,False
2435,Guy Vaschetti,26 septembre 1931,Inconnu,Inconnu,1.0,27.17864476386037, Seine,False
2436,Francis Geng,23 septembre 1931,Seine,Inconnu,4.0,46.444900752908964, Orne,False
2437,Michel Bérégovoy,20 septembre 1931,Seine-Inférieure,Inconnu,2.0,49.385352498288846, Seine-Maritime,False
2438,Yves Rispat,17 septembre 1931,Lot,Gers,1.0,61.385352498288846, Gers,False
2439,Bernard Lambert,11 septembre 1931,Loire-Inférieure,Inconnu,1.0,27.058179329226558, Loire-Atlantique,False
2440,Christian Défarge,10 septembre 1931,Dordogne,Inconnu,1.0,52.27926078028747, Dordogne,True
2441,Pierre Prouvost,25 août 1931,Nord,Nord,2.0,46.56536618754278, Nord,True
2442,Louis Mermaz,20 août 1931,Seine,Inconnu,7.0,35.53730321697468, Isère,False
2443,Joseph Klifa,26 juillet 1931,Haut-Rhin,Inconnu,2.0,54.52977412731006, Haut-Rhin,True
2444,Ahmed Djebbour,24 juillet 1931,Paris,Inconnu,1.0,27.353867214236825, Anciens départements d'Algérie,False
2445,Eliane Provost,21 juillet 1931,Loire-Inférieure,Inconnu,1.0,50.012320328542096, Calvados,False
2446,Louis Mexandeau,6 juillet 1931,Inconnu,Inconnu,7.0,41.66461327857632, Calvados,False
2447,Claude Pringalle,2 juillet 1931,Inconnu,Inconnu,3.0,45.9958932238193, Nord,False
2448,Jean Rigal,28 juin 1931,Aveyron,Aveyron,4.0,49.426420260095824, Aveyron,True
2449,Gaston Flosse,24 juin 1931,Etablissements,Inconnu,4.0,46.69404517453799, Polynésie française,False
2450,Marc Verdon,20 juin 1931,Charente-Inférieure,Inconnu,1.0,50.09719370294319, Vienne,False
2451,Paul Bladt,1er juin 1931,Moselle,Inconnu,1.0,50.08898015058179, Moselle,True
2452,Pierre Lelong,22 mai 1931,Seine,Inconnu,2.0,37.1088295687885, Finistère,False
2453,Pierre Lagaillarde,15 mai 1931,Gers,Inconnu,1.0,27.54551676933607, Anciens départements d'Algérie,False
2454,Maurice Jeandon,13 mai 1931,Moselle,Lieu,1.0,54.732375085557834, Vosges,False
2455,Jean Valroff,6 mai 1931,Meurthe,Inconnu,1.0,49.67830253251198, Vosges,False
2456,Louis Colombani,5 mai 1931,Var,Inconnu,2.0,57.1088295687885, Var,True
2457,Jean-Claude Lemoine,28 avril 1931,Manche,Lieu,3.0,61.7741273100616, Manche,True
2458,André Pinçon,27 avril 1931,Mayenne,Inconnu,1.0,54.776180698151954, Mayenne,True
2459,Michel Delprat,25 avril 1931,Yonne,Inconnu,1.0,46.899383983572896, Yonne,True
2460,"Roger, Arthur, Gaston Mas",16 avril 1931,Ardennes,Ardennes,3.0,49.81519507186858, Ardennes,True
2461,Christian Martin,7 avril 1931,Lieu,Inconnu,2.0,61.59342915811088, Maine-et-Loire,False
2462,Jacques Bichet,28 mars 1931,Doubs,Inconnu,1.0,54.85831622176591, Territoire-de-Belfort,False
2463,Pierre Aubry,28 mars 1931,Inconnu,Inconnu,1.0,65.77960301163587, Val-de-Marne,False
2464,Paul Granet,20 mars 1931,Gard,Aube,4.0,35.95619438740589, Aube,False
2465,Albert Pen,1er mars 1931,Calvados,Inconnu,2.0,50.09719370294319, Saint-Pierre-et-Miquelon,False
2466,Georges Colin,27 février 1931,Meuse,Marne,3.0,49.946611909650926, Marne,False
2467,Job Durupt,15 février 1931,Meurthe,Inconnu,3.0,49.97946611909651, Meurthe-et-Moselle,False
2468,Kheira Bouabsa,4 février 1931,Inconnu,Inconnu,1.0,27.66324435318275, Anciens départements d'Algérie,False
2469,Christian Coumel,13 janvier 1931,Inconnu,Inconnu,1.0,49.412731006160165, Yvelines,False
2470,Bernard Montergnole,7 janvier 1931,Isère,Inconnu,1.0,51.780971937029435, Isère,True
2471,Maxime Kalinsky,7 janvier 1931,Seine,Hérault,2.0,41.59890485968515, Val-de-Marne,False
2472,Gilbert Millet,27 décembre 1930,Seine,Inconnu,4.0,36.18343600273785, Gard,False
2473,Nicole Questiaux,19 décembre 1930,Loire-Inférieure,Inconnu,1.0,50.13826146475017, Paris,False
2474,Jean-Charles Cavaillé,17 décembre 1930,Morbihan,Inconnu,6.0,47.21149897330596, Morbihan,True
2475,Michel Crépeau,30 octobre 1930,Vendée,Paris,5.0,42.26694045174538, Charente-Maritime,False
2476,Jean Briane,29 octobre 1930,Aveyron,Inconnu,8.0,40.53388090349076, Aveyron,True
2477,Pierre Micaux,26 octobre 1930,Aube,Aube,7.0,47.35386721423682, Aube,True
2478,Jacques-Antoine Gau,25 octobre 1930,Lot,Isère,2.0,42.280629705681044, Isère,False
2479,Gérard Houteer,18 octobre 1930,Nord,Haute-Garonne,3.0,42.299794661190965, Haute-Garonne,False
2480,Pierre Quillet,8 octobre 1930,Somme,Inconnu,1.0,62.48870636550308, Seine-et-Marne,False
2481,Michel Sy,26 septembre 1930,Inconnu,Inconnu,1.0,30.028747433264886, Seine,False
2482,Odile Sicard,25 août 1930,Inconnu,Inconnu,2.0,50.455852156057496, Isère,False
2483,Michel Rocard,23 août 1930,Paris,Inconnu,5.0,39.175906913073234, Yvelines,False
2484,Daniel Colliard,14 août 1930,Seine-Inférieure,Inconnu,1.0,62.47775496235455, Seine-Maritime,False
2485,Lionel Assouad,12 août 1930,Seine,Inconnu,1.0,64.85968514715948, Paris,False
2486,Georges Benedetti,29 juillet 1930,Haute-Corse,Haute-Corse,2.0,50.52977412731006, Gard,False
2487,"Elie, Aristide Marty",18 juillet 1930,Dordogne,Dordogne,1.0,55.55099247091034, Dordogne,True
2488,Suzanne Sauvaigo,15 juillet 1930,Inconnu,Inconnu,2.0,57.91375770020534, Alpes-Maritimes,False
2489,Bernard Stasi,4 juillet 1930,Marne,Paris,6.0,38.587268993839835, Marne,True
2490,Lucien Jacob,3 juillet 1930,Inconnu,Inconnu,2.0,48.24640657084189, Côte-d'Or,False
2491,Edouard Landrain,1er juillet 1930,Morbihan,Lieu,4.0,58.431211498973305, Loire-Atlantique,False
2492,André Damien,30 juin 1930,Seine,Yvelines,1.0,65.73853524982889, Yvelines,False
2493,Jean-Pierre de Peretti Della Rocca,26 juin 1930,Inconnu,Inconnu,2.0,55.611225188227245, Bouches-du-Rhône,False
2494,Henri Fiszbin,26 juin 1930,Seine,Paris,2.0,42.61190965092403, Paris,False
2495,Pierre Métais,23 juin 1930,Vienne,Charente-Maritime,3.0,50.62833675564682, Vendée,False
2496,Gilbert Bonnemaison,21 juin 1930,Seine,Seine-Maritime,3.0,50.63381245722108, Seine-St-Denis,False
2497,François Abadie,19 juin 1930,Hautes-Pyrénées,Inconnu,3.0,42.63107460643395, Hautes-Pyrénées,True
2498,Charles Pineton de Chambrun,16 juin 1930,Seine,Inconnu,4.0,31.98904859685147, Lozère,False
2499,Jean Grimont,13 juin 1930,Haut-Rhin,Inconnu,2.0,54.19849418206708, Haut-Rhin,True
2500,Jacques Richomme,9 juin 1930,Calvados,Calvados,2.0,43.81108829568789, Calvados,True
2501,Aliette Crepin,8 juin 1930,Haute-Vienne,Inconnu,1.0,43.89596167008898, Aisne,False
2502,Maurice Mathus,1er juin 1930,Inconnu,Inconnu,1.0,54.620123203285424, Saône-et-Loire,False
2503,Marcel Wacheux,28 mai 1930,Inconnu,Inconnu,3.0,50.69952087611225, Pas-de-Calais,False
2504,Arthur Paecht,18 mai 1930,Var,Inconnu,5.0,47.794661190965094, Var,True
2505,Jacques Valade,4 mai 1930,Gironde,Inconnu,1.0,40.54209445585216, Gironde,True
2506,Berthe Fiévet,9 avril 1930,Cher,Inconnu,1.0,50.42847364818618, Cher,True
2507,Claire Vergnaud,2 avril 1930,Nièvre,Inconnu,1.0,37.82614647501711, Paris,False
2508,Bernadette Isaac-Sibille,30 mars 1930,Inconnu,Inconnu,3.0,58.20670773442848, Rhône,False
2509,Gérard Boche,28 mars 1930,Inconnu,Inconnu,1.0,62.85831622176591, Puy-de-Dôme,False
2510,Marc Fromion,22 mars 1930,Cher,Inconnu,1.0,50.8829568788501, Seine-et-Marne,False
2511,Joël Le Theule,22 mars 1930,Sarthe,Mayenne,6.0,28.692676249144423, Sarthe,True
2512,Gérard Chasseguet,11 mars 1930,Sarthe,Inconnu,5.0,42.25598904859685, Sarthe,True
2513,Gérard Sibeud,1er mars 1930,Drôme,Isère,1.0,38.48870636550308, Drôme,True
2514,Louis Donnadieu,1er mars 1930,Hérault,Inconnu,3.0,39.55099247091034, Tarn,False
2515,Maurice Dousset,26 février 1930,Paris,Inconnu,6.0,42.940451745379875, Eure-et-Loir,False
2516,Aloyse Warhouver,26 février 1930,Moselle,Inconnu,2.0,58.2943189596167, Moselle,True
2517,Gérard Lehn,24 février 1930,Bas-Rhin,Bas-Rhin,3.0,36.83504449007529, Bas-Rhin,True
2518,Pierre Juquin,22 février 1930,Inconnu,Inconnu,3.0,37.776865160848736, Essonne,False
2519,"Jacques, Guy Guinebretière",20 février 1930,Inconnu,Inconnu,1.0,46.959616700889804, Finistère,False
2520,Robert de Caumont,16 février 1930,Seine,Inconnu,1.0,50.97604380561259, Hautes-Alpes,False
2521,Georges Vinson,11 février 1930,Inconnu,Inconnu,1.0,37.08418891170431, Rhône,False
2522,Hélène Constans,11 février 1930,Charente-Maritime,Inconnu,2.0,42.25872689938399, Haute-Vienne,False
2523,Claude Martin,6 février 1930,Seine,Inconnu,2.0,38.078028747433265, Paris,False
2524,Ernest Denis,26 janvier 1930,Nord,Nord,1.0,28.843258042436688, Nord,True
2525,Pierre Petit,22 janvier 1930,Martinique,Inconnu,2.0,63.0362765229295, Martinique,True
2526,Guy Guermeur,11 janvier 1930,Aisne,Inconnu,2.0,42.261464750171115, Finistère,False
2527,André Lajoinie,26 décembre 1929,Corrèze,Inconnu,5.0,48.186173853524984, Allier,False
2528,Charles Baur,20 décembre 1929,Seine,Inconnu,1.0,63.12662559890486, Aisne,False
2529,Christian Goux,19 décembre 1929,Var,Inconnu,2.0,51.13757700205339, Var,True
2530,"Paul, Maxime Duvaleix",16 décembre 1929,Dordogne,Dordogne,1.0,58.61738535249829, Dordogne,True
2531,Gérard Godon,12 décembre 1929,Inconnu,Inconnu,2.0,38.548939082819984, Yvelines,False
2532,Jean-Marie Poirier,1er décembre 1929,Paris,Inconnu,3.0,33.86721423682409, Yvelines,False
2533,Jean-Marie Daillet,24 novembre 1929,Inconnu,Inconnu,5.0,43.19780971937029, Manche,False
2534,Jean-Paul Durieux,7 novembre 1929,Seine,Inconnu,5.0,51.578370978781656, Meurthe-et-Moselle,False
2535,Léopold Durbet,13 octobre 1929,Savoie,Savoie,1.0,38.83367556468173, Savoie,True
2536,Michel Péricard,15 septembre 1929,Yvelines,Inconnu,6.0,48.46543463381246, Yvelines,True
2537,Bernard Lebas,9 septembre 1929,Alpes-Maritimes,Inconnu,1.0,38.8062970568104, Nord,False
2538,Pierre Mazeaud,24 août 1929,Inconnu,Inconnu,6.0,39.20602327173169, Hauts-de-Seine,False
2539,Jean-Marie Caro,14 août 1929,Inconnu,Inconnu,5.0,43.47707049965777, Bas-Rhin,False
2540,Charles Metzinger,13 août 1929,Moselle,Inconnu,3.0,51.488021902806295, Moselle,True
2541,Jean Le Garrec,9 août 1929,Morbihan,Inconnu,5.0,51.41683778234086, Nord,False
2542,Jacques Rimbault,7 août 1929,Cher,Cher,3.0,51.58658453114305, Cher,True
2543,Jacques Malleville,27 juillet 1929,Gironde,Paris,2.0,29.34428473648186, Seine,False
2544,Michel Giraud,14 juillet 1929,Essonne,Inconnu,4.0,58.91581108829569, Val-de-Marne,False
2545,Stéphane Dermaux,13 juillet 1929,Nord,Nord,1.0,56.563997262149215, Nord,True
2546,Yves Cornic,11 juillet 1929,Paris,Inconnu,1.0,47.08555783709788, Hauts-de-Seine,False
2547,Jean Le Gars,10 juillet 1929,Inconnu,Inconnu,1.0,51.337440109514034, Yvelines,False
2548,Georges Fillioud,7 juillet 1929,Paris,Inconnu,4.0,38.40657084188912, Drôme,False
2549,Henri de Gastines,6 juillet 1929,Loiret,Inconnu,8.0,39.419575633128, Mayenne,False
2550,Roland Mazoin,25 juin 1929,Haute-Vienne,Dordogne,1.0,52.082135523613964, Haute-Vienne,True
2551,Georges Tranchant,23 juin 1929,Ardennes,Paris,4.0,48.695414099931554, Hauts-de-Seine,False
2552,Jacques Bérard,7 juin 1929,Vaucluse,Inconnu,4.0,29.401779603011637, Vaucluse,True
2553,Robert Calméjane,19 mai 1929,Seine,Paris,3.0,29.533196440793976, Seine,True
2554,Alain Lecornu,18 mai 1929,Calvados,Calvados,1.0,34.119096509240244, Calvados,True
2555,Hubert Grimault,7 mai 1929,Inconnu,Inconnu,3.0,58.940451745379875, Maine-et-Loire,False
2556,Edouard Balladur,2 mai 1929,Inconnu,Inconnu,6.0,56.99657768651608, Paris,False
2557,Pierre Bleuler,26 avril 1929,Hautes-Pyrénées,Haute-Garonne,1.0,56.77754962354552, Hautes-Pyrénées,True
2558,André Brillouet,11 avril 1929,Charente-Inférieure,Charente-Maritime,1.0,43.520876112251884, Charente-Maritime,False
2559,Yvette Roudy,10 avril 1929,Gironde,Inconnu,3.0,56.336755646817245, Calvados,False
2560,Serge Boucheny,22 mars 1929,Seine,Inconnu,1.0,38.69952087611225, Paris,False
2561,Roger Holeindre,21 mars 1929,Inconnu,Inconnu,1.0,56.876112251882276, Seine-St-Denis,False
2562,Claude Eymard-Duvernay,12 mars 1929,Isère,Inconnu,1.0,48.50376454483231, Seine-et-Marne,False
2563,Florence d'Harcourt,10 mars 1929,Seine,Inconnu,4.0,47.49897330595483, Hauts-de-Seine,False
2564,Lucette Michaux-Chevry,5 mars 1929,Guadeloupe,Inconnu,3.0,56.75838466803559, Guadeloupe,True
2565,Jean Falala,2 mars 1929,Ardennes,Marne,9.0,38.078028747433265, Marne,False
2566,Jean Mouton,15 février 1929,Gard,Inconnu,1.0,56.969199178644764, Drôme,False
2567,Frédérick Tutaha Salmon,11 février 1929,Etablissements,Polynésie,1.0,52.824093086926766, Polynésie française,False
2568,Loïc Bouvard,20 janvier 1929,Inconnu,Inconnu,9.0,44.04106776180698, Morbihan,False
2569,André Chène,25 décembre 1928,Loiret,Loiret,1.0,27.10198494182067, Loiret,True
2570,Bertrand des Garets,12 décembre 1928,Seine,Gironde,1.0,39.66872005475702, Gironde,False
2571,François d'Harcourt,10 décembre 1928,Seine,Inconnu,32.0,0.5229295003422314, Calvados,False
2572,François d'Harcourt,10 décembre 1928,Calvados,Calvados,32.0,0.5229295003422314, Calvados,True
2573,François d'Harcourt,12 juillet 1902,Seine,Inconnu,32.0,0.5229295003422314, Calvados,False
2574,François d'Harcourt,12 juillet 1902,Calvados,Calvados,32.0,0.5229295003422314, Calvados,True
2575,Pierre Leroy-Beaulieu,5 décembre 1928,Seine,Hérault,45.0,-78.75975359342915, Hérault,False
2576,Pierre Leroy-Beaulieu,5 décembre 1928,Hérault,Aisne,45.0,-78.75975359342915, Hérault,True
2577,Pierre Leroy-Beaulieu,5 décembre 1928,Calvados,Calvados,45.0,-78.75975359342915, Hérault,False
2578,Pierre Leroy-Beaulieu,25 septembre 1871,Seine,Hérault,45.0,-78.75975359342915, Hérault,False
2579,Pierre Leroy-Beaulieu,25 septembre 1871,Hérault,Aisne,45.0,-78.75975359342915, Hérault,True
2580,Pierre Leroy-Beaulieu,25 septembre 1871,Calvados,Calvados,45.0,-78.75975359342915, Hérault,False
2581,Pierre Leroy-Beaulieu,4 août 1798,Seine,Hérault,45.0,-78.75975359342915, Hérault,False
2582,Pierre Leroy-Beaulieu,4 août 1798,Hérault,Aisne,45.0,-78.75975359342915, Hérault,True
2583,Pierre Leroy-Beaulieu,4 août 1798,Calvados,Calvados,45.0,-78.75975359342915, Hérault,False
2584,Henri-Jean Arnaud,27 novembre 1928,Hérault,Inconnu,2.0,63.57015742642026, Ardèche,False
2585,Claude Guichard,11 novembre 1928,Gironde,Inconnu,2.0,38.729637234770706, Dordogne,False
2586,Georges Chometon,9 novembre 1928,Inconnu,Inconnu,1.0,57.399041752224505, Puy-de-Dôme,False
2587,Jean-François Deniau,31 octobre 1928,Seine,Paris,4.0,49.3388090349076, Cher,False
2588,André Mercier,30 octobre 1928,Allier,Paris,28.0,7.345653661875428, Yonne,False
2589,André Mercier,30 octobre 1928,Seine,Inconnu,28.0,7.345653661875428, Yonne,False
2590,André Mercier,7 juillet 1901,Allier,Paris,28.0,7.345653661875428, Yonne,False
2591,André Mercier,7 juillet 1901,Seine,Inconnu,28.0,7.345653661875428, Yonne,False
2592,Daniel Goulet,28 octobre 1928,Orne,Inconnu,5.0,44.271047227926076, Orne,True
2593,Robert Pandraud,16 octobre 1928,Haute-Loire,Inconnu,5.0,57.30321697467488, Seine-St-Denis,False
2594,Michel Alloncle,7 octobre 1928,Charente,Charente,2.0,39.97262149212868, Charente,True
2595,Georges Richard,26 septembre 1928,Inconnu,Inconnu,1.0,64.3586584531143, Lot-et-Garonne,False
2596,Jean-Claude Dalbos,24 septembre 1928,Gironde,Inconnu,2.0,29.965776865160848, Gironde,True
2597,Jean-Pierre Huchon,4 septembre 1928,Lieu,Inconnu,1.0,48.47091033538672, Maine-et-Loire,False
2598,René Carpentier,2 août 1928,Nord,Inconnu,2.0,62.61738535249829, Nord,True
2599,Léon Darnis,20 juillet 1928,Inconnu,Inconnu,1.0,45.94113620807666, Vendée,False
2600,Michel Aurillac,11 juillet 1928,Inconnu,Inconnu,2.0,49.319644079397676, Indre,False
2601,Pierre Mauroy,5 juillet 1928,Nord,Inconnu,5.0,44.747433264887064, Nord,True
2602,André Billoux,26 juin 1928,Tarn,Lieu,2.0,44.610540725530456, Tarn,True
2603,Jean-Marie Le Pen,20 juin 1928,Morbihan,Inconnu,3.0,27.581108829568787, Seine,False
2604,Pierre Jagoret,18 juin 1928,Côtes,Côtes,2.0,49.74948665297741, Côtes-du-Nord,False
2605,René Serres,27 mai 1928,Hautes-Alpes,Hautes-Alpes,2.0,48.695414099931554, Hautes-Alpes,True
2606,François Porteu de la Morandière,20 mai 1928,Inconnu,Inconnu,1.0,57.711156741957566, Pas-de-Calais,False
2607,Jack Ralite,14 mai 1928,Marne,Inconnu,3.0,44.8870636550308, Seine-St-Denis,False
2608,"Pierre, Jean, Adolphe Dassonville",10 mai 1928,Nord,Nord,1.0,52.799452429842574, Nord,True
2609,Marcel Rigout,10 mai 1928,Haute-Vienne,Haute-Vienne,5.0,38.40930869267625, Haute-Vienne,True
2610,Robert Poujade,6 mai 1928,Allier,Paris,8.0,38.743326488706366, Côte-d'Or,False
2611,Jacques Médecin,5 mai 1928,Alpes-Maritimes,Inconnu,6.0,38.82819986310746, Alpes-Maritimes,True
2612,Roch Meynier,2 mai 1928,Haute-Savoie,Haute-Savoie,1.0,37.98220396988364, Haute-Savoie,True
2613,Pierre Laguilhon,29 avril 1928,Basses-Pyrénées,Pyrénées-Atlantiques,1.0,64.77207392197126, Pyrénées-Atlantiques,False
2614,Jean Valleix,23 avril 1928,Gironde,Inconnu,9.0,38.861054072553046, Gironde,True
2615,Gérard Bordu,21 avril 1928,Inconnu,Inconnu,3.0,44.79123887748118, Seine-et-Marne,False
2616,Paul Chollet,10 avril 1928,Inconnu,Inconnu,3.0,57.33607118412046, Lot-et-Garonne,False
2617,André Fanton,31 mars 1928,Inconnu,Inconnu,7.0,30.45037645448323, Seine,False
2618,Christian Poncelet,24 mars 1928,Ardennes,Vosges,4.0,34.672142368240934, Vosges,False
2619,Jacques Farran,19 mars 1928,Pyrénées-Orientales,Inconnu,2.0,57.880903490759756, Pyrénées-Orientales,True
2620,Jean-Paul Baréty,10 mars 1928,Alpes-Maritimes,Alpes-Maritimes,1.0,65.44010951403149, Alpes-Maritimes,True
2621,Jean Juventin,9 mars 1928,Etablissements,Polynésie,3.0,49.497604380561256, Polynésie française,False
2622,Henry Canacos,2 mars 1928,Loire,Inconnu,3.0,39.08008213552361, Val-d'Oise,False
2623,Pierre Lucas,25 janvier 1928,Inconnu,Inconnu,12.0,-114.64750171115674, Bouches-du-Rhône,False
2624,Pierre Lucas,25 janvier 1928,Allier,Allier,12.0,-114.64750171115674, Bouches-du-Rhône,False
2625,Pierre Lucas,1er avril 1763,Inconnu,Inconnu,12.0,-114.64750171115674, Bouches-du-Rhône,False
2626,Pierre Lucas,1er avril 1763,Allier,Allier,12.0,-114.64750171115674, Bouches-du-Rhône,False
2627,Roger Gouhier,20 janvier 1928,Orne,Paris,4.0,39.11841204654346, Seine-St-Denis,False
2628,Jean Castagnou,18 janvier 1928,Inconnu,Inconnu,1.0,50.16563997262149, Indre-et-Loire,False
2629,René Barnerias,14 janvier 1928,Loire,Inconnu,1.0,50.17659137577002, Puy-de-Dôme,False
2630,André Labarrère,12 janvier 1928,Basses-Pyrénées,Pyrénées-Atlantiques,8.0,38.25325119780972, Basses-Pyrénées,True
2631,Robert Schwint,11 janvier 1928,Doubs,Doubs,1.0,59.61396303901437, Doubs,True
2632,Bernard Tremeau,11 janvier 1928,Inconnu,Inconnu,1.0,39.66050650239562, Saône-et-Loire,False
2633,Noureddine Hassani,5 janvier 1928,Loire-Atlantique,Inconnu,1.0,30.581793292265573, Anciens départements d'Algérie,False
2634,Olivier Giscard d'Estaing,30 décembre 1927,Seine,Inconnu,1.0,40.50102669404517, Alpes-Maritimes,False
2635,Paul Lombard,15 décembre 1927,Inconnu,Inconnu,1.0,60.49555099247091, Bouches-du-Rhône,False
2636,Maurice Ligot,9 décembre 1927,Deux-Sèvres,Inconnu,7.0,45.399041752224505, Maine-et-Loire,False
2637,Serge Charles,17 novembre 1927,Eure,Nord,5.0,50.2943189596167, Nord,False
2638,Jacques Mer,17 octobre 1927,Seine,Inconnu,1.0,35.10746064339494, Paris,False
2639,Denis Salaville,9 octobre 1927,Lozère,Inconnu,1.0,49.4072553045859, Lozère,True
2640,Marcelin Berthelot,9 octobre 1927,Loiret,Paris,3.0,41.16084873374401, Seine-St-Denis,False
2641,Maurice Jarrige,6 octobre 1927,Lot,Bas-Rhin,2.0,41.177275838466805, Moselle,False
2642,Georges Brice,20 septembre 1927,Nord,Lieu,1.0,31.195071868583163, Nord,True
2643,Henri Bayard,13 septembre 1927,Loire,Loire,5.0,48.97741273100616, Loire,True
2644,"Pierre, Joseph, Antoine Morison",8 septembre 1927,Loire,Isère,2.0,40.31759069130732, Rhône,False
2645,Michel Cotton de Bennetot,5 septembre 1927,Gironde,Pyrénées-Atlantiques,2.0,41.14442162902122, Finistère,False
2646,Dominique Frelaut,2 septembre 1927,Morbihan,Inconnu,4.0,45.987679671457904, Hauts-de-Seine,False
2647,Gilles Charpentier,1er septembre 1927,Morbihan,Inconnu,1.0,54.0807665982204, Ardennes,False
2648,Claude Heuillard,1er septembre 1927,Seine-Inférieure,Inconnu,1.0,31.890485968514717, Seine-Maritime,False
2649,Philippe Mestre,23 août 1927,Vendée,Inconnu,4.0,53.46201232032854, Vendée,True
2650,Roland Vernaudon,19 août 1927,Creuse,Inconnu,1.0,41.927446954141, Val-de-Marne,False
2651,Hubert Rochet,14 août 1927,Nièvre,Inconnu,1.0,41.94113620807666, Nord,False
2652,René Cathala,2 août 1927,Seine,Inconnu,1.0,31.808350444900753, Haute-Garonne,False
2653,Gisèle Halimi,27 juillet 1927,Paris,Inconnu,1.0,53.53593429158111, Isère,False
2654,Léonce Deprez,10 juillet 1927,Inconnu,Inconnu,5.0,58.32991101984942, Pas-de-Calais,False
2655,Pierre Pranchère,1er juillet 1927,Corrèze,Inconnu,2.0,29.032169746748803, Corrèze,True
2656,Hélène Missoffe,15 juin 1927,Seine,Paris,4.0,47.1129363449692, Paris,False
2657,"Henri, Louis Colombier",14 juin 1927,Loire,Loire,1.0,50.76249144421629, Seine-Maritime,False
2658,"Marcel, Joseph, Léon Restout",8 juin 1927,Calvados,Calvados,1.0,40.32580424366872, Calvados,True
2659,Daniel Bernardet,7 juin 1927,Indre,Lieu,1.0,58.5845311430527, Indre,True
2660,Jean Bernasconi,23 mai 1927,Inconnu,Inconnu,3.0,31.523613963039015, Seine,False
2661,Marcel Esdras,21 mai 1927,Guadeloupe,Inconnu,1.0,53.719370294318956, Guadeloupe,True
2662,Maurice Quettier,20 mai 1927,Loiret,Yvelines,1.0,40.539356605065024, Yvelines,False
2663,"Marcel, Jean Papet",2 mai 1927,Hautes-Alpes,Hautes-Alpes,2.0,46.26694045174538, Hautes-Alpes,True
2664,Jean-Louis Goasduff,2 mai 1927,Finistère,Finistère,5.0,51.07460643394935, Finistère,True
2665,Jean Lamale,1er mai 1927,Yonne,Inconnu,1.0,29.073237508555785, Yonne,True
