,Nom,Né le,Département de naissance,Département de mort,nombre de mandat,age en année,premier dpt,élection locale
702,Christian Paul,23 mars 1960,Inconnu,Inconnu,2.0,36.79123887748118, Nièvre,False
703,Marie-Hélène Amiable,14 mars 1960,Seine,Inconnu,1.0,47.266255989048595, Hauts-de-Seine,False
704,Guy Hascoet,29 février 1960,Sarthe,Inconnu,,,,False
705,Pascale Gruny,18 février 1960,Nord,Inconnu,3.0,43.879534565366185, Aisne,False
706,Michel Hunault,14 février 1960,Loire-Inférieure,Inconnu,4.0,32.97467488021903, Loire-Atlantique,False
707,Patrice Calméjane,6 février 1960,Inconnu,Inconnu,1.0,47.04722792607803, Seine-St-Denis,False
708,Stéphane Le Foll,3 février 1960,Sarthe,Inconnu,1.0,57.30321697467488, Sarthe,True
709,Pascal Demarthe,29 janvier 1960,Somme,Inconnu,,,,False
710,Jean-François Parigi,25 janvier 1960,Inconnu,Inconnu,0.0,, Seine-et-Marne,False
711,Michel Vialay,6 janvier 1960,Seine,Inconnu,0.0,, Yvelines,False
712,Dominique Tian,14 décembre 1959,Inconnu,Inconnu,4.0,42.59548254620123, Bouches-du-Rhône,False
713,Christian Jacob,4 décembre 1959,Inconnu,Inconnu,5.0,36.50102669404517, Seine-et-Marne,False
714,Pascal Bois,3 décembre 1959,Seine,Inconnu,0.0,, Oise,False
715,Bruno Millienne,28 novembre 1959,Inconnu,Inconnu,0.0,, Yvelines,False
716,François Lamy,31 octobre 1959,Essonne,Inconnu,2.0,37.1854893908282, Essonne,True
717,Dominique Baert,24 octobre 1959,Nord,Inconnu,1.0,37.204654346338124, Nord,True
718,Joël Giraud,14 octobre 1959,Hautes-Alpes,Inconnu,1.0,42.680355920602324, Hautes-Alpes,True
719,Bérengère Poletti,14 octobre 1959,Meuse,Inconnu,3.0,42.680355920602324, Ardennes,False
720,Élie Aboud,12 octobre 1959,Inconnu,Inconnu,2.0,47.32375085557837, Hérault,False
721,Valérie Fourneyron,4 octobre 1959,Seine-Inférieure,Inconnu,,,,False
722,Josiane Corneloup,30 septembre 1959,Inconnu,Inconnu,0.0,, Saône-et-Loire,False
723,Nicole Le Peih,28 septembre 1959,Morbihan,Inconnu,0.0,, Morbihan,True
724,Gabriel Serville,27 septembre 1959,Guyane,Inconnu,1.0,52.73100616016427, Guyane,True
725,Jean-Jacques Urvoas,19 septembre 1959,Finistère,Inconnu,,,,False
726,Sophie Mette,13 septembre 1959,Inconnu,Inconnu,0.0,, Gironde,False
727,Sandrine Doucet,10 septembre 1959,Gironde,Inconnu,,,,False
728,Dominique Dord,1er septembre 1959,Savoie,Inconnu,4.0,37.99315537303217, Savoie,True
729,Yves Goasdoué,22 août 1959,Manche,Inconnu,,,,False
730,Mohamed Laqhila,3 août 1959,Inconnu,Inconnu,0.0,, Bouches-du-Rhône,False
731,Brigitte Liso,29 juillet 1959,Nord,Inconnu,0.0,, Nord,True
732,Véronique Massonneau,17 juillet 1959,Inconnu,Inconnu,1.0,52.92813141683778, Vienne,False
733,Kader Arif,3 juillet 1959,Inconnu,Inconnu,,,,False
734,Françoise Olivier-Coupeau,3 juillet 1959,Mayenne,Inconnu,,,,False
735,Sabine Thillaye,18 mai 1959,Inconnu,Inconnu,0.0,, Indre-et-Loire,False
736,Renaud Muselier,6 mai 1959,Inconnu,Inconnu,4.0,33.67008898015058, Bouches-du-Rhône,False
737,Brigitte Kuster,12 avril 1959,Inconnu,Inconnu,0.0,, Paris,False
738,Bruno Fuchs,7 avril 1959,Haut-Rhin,Inconnu,0.0,, Haut-Rhin,True
739,Isabelle Vasseur,2 avril 1959,Meurthe,Inconnu,1.0,48.37234770704997, Aisne,False
740,Mansour Kamardine,23 mars 1959,Mayotte,Inconnu,1.0,43.24161533196441, Mayotte,True
741,Viviane Le Dissez,22 mars 1959,Côtes,Inconnu,,,,False
742,Brigitte Bourguignon,21 mars 1959,Inconnu,Inconnu,0.0,, Pas-de-Calais,False
743,Serge Grouard,19 mars 1959,Seine,Inconnu,3.0,43.252566735112936, Loiret,False
744,Marisol Touraine,7 mars 1959,Seine,Inconnu,1.0,37.51403148528405, Indre-et-Loire,False
745,Maryvonne Briot,4 février 1959,Vosges,Inconnu,1.0,43.214236824093085, Haute-Saône,False
746,Maurice Leroy,2 février 1959,Seine,Inconnu,5.0,37.927446954141, Loir-et-Cher,False
747,Juliana Rimane,22 janvier 1959,Guyane,Inconnu,1.0,43.488021902806295, Guyane,True
748,Claudine Ledoux,10 janvier 1959,Ardennes,Inconnu,1.0,37.267624914442166, Ardennes,True
749,Éric Coquerel,30 décembre 1958,Inconnu,Inconnu,0.0,, Seine-St-Denis,False
750,Pierre Morel-A-l'Huissier,21 décembre 1958,Bas-Rhin,Inconnu,3.0,43.493497604380565, Lozère,False
751,Jean-Luc Bleunven,20 décembre 1958,Finistère,Inconnu,,,,False
752,Jean-Marc Fournel,9 décembre 1958,Meurthe,Inconnu,,,,False
753,Gaetan Gorce,2 décembre 1958,Nièvre,Inconnu,2.0,38.899383983572896, Nièvre,True
754,Dominique Le Mèner,12 novembre 1958,Sarthe,Inconnu,3.0,43.520876112251884, Sarthe,True
755,Hervé Mariton,5 novembre 1958,Inconnu,Inconnu,4.0,34.7378507871321, Drôme,False
756,Dominique Voynet,4 novembre 1958,Doubs,Inconnu,,,,False
757,Michèle Victory,28 octobre 1958,Inconnu,Inconnu,0.0,, Ardèche,False
758,Philippe Gomès,27 octobre 1958,Inconnu,Inconnu,1.0,53.648186173853524, Nouvelle-Calédonie,False
759,Martine Pinville,23 octobre 1958,Charente,Inconnu,,,,False
760,Louis Giscard d'Estaing,20 octobre 1958,Seine,Inconnu,2.0,43.663244353182755, Puy-de-Dôme,False
761,Colette Capdevielle,14 octobre 1958,Basses-Pyrénées,Inconnu,,,,False
762,Béatrice Pavy,14 octobre 1958,Inconnu,Inconnu,2.0,43.67967145790554, Sarthe,False
763,Jean-Paul Lecoq,13 octobre 1958,Seine-Inférieure,Inconnu,1.0,48.68446269678302, Seine-Maritime,False
764,Yves Foulon,10 octobre 1958,Gironde,Inconnu,1.0,53.69472963723477, Gironde,True
