,Département de naissance,Département de mort,Nom
0,Martinique,Inconnu,Bruno Nestor Azerot
0,Nord,Inconnu,Emmanuelle Bouquillon
0,Nouvelle-Calédonie,Inconnu,Gaël Yanno
0,Aube,Inconnu,Catherine Lemorton
0,Inconnu,Inconnu,Joëlle Borowski
0,Mayotte,Inconnu,Ramlati Ali
0,Aisne,Inconnu,Marc Delatte
0,Inconnu,Inconnu,Philippe Cochet
0,Mayenne,Inconnu,Michel Ménard
0,La,Inconnu,Nadia Ramassamy
0,Seine-Inférieure,Inconnu,Philippe Doucet
0,Inconnu,Inconnu,Sylvie Charrière
0,Seine,Inconnu,Meyer Habib
0,Nord,Inconnu,Béatrice Descamps
0,Doubs,Inconnu,Yves Jégo
0,Charente-Inférieure,Inconnu,Pascale Got
0,Eure,Inconnu,Véronique Louwagie
0,Loiret,Inconnu,Olivier Carré
0,Seine,Inconnu,David Habib
0,Var,Inconnu,Olivier de Chazeaux
0,Seine,Inconnu,Nicolas Dupont-Aignan
0,Jura,Inconnu,Jean-Marie Sermier
0,Moselle,Inconnu,François Grosdidier
0,Haute-Vienne,Inconnu,Natalia Pouzyreff
0,Seine,Inconnu,Nicolas Forissier
0,Seine,Inconnu,Henri Plagnol
0,Inconnu,Inconnu,Frédéric Petit
0,Loiret,Inconnu,Olivier Dosne
0,Nord,Inconnu,Christian Hutin
0,Seine,Inconnu,Fabienne Labrette-Ménager
0,Inconnu,Inconnu,Bruno Gilles
0,Seine,Inconnu,Frédérique Meunier
0,Seine,Inconnu,Nicolas Dhuicq
0,Inconnu,Inconnu,Bruno Retailleau
0,Inconnu,Inconnu,Constance Le Grip
0,Inconnu,Inconnu,Jean-Pierre Barbier
0,Inconnu,Inconnu,Eric Duboc
0,Inconnu,Inconnu,Philippe Briand
0,Nord,Inconnu,Thierry Lazaro
0,Mayotte,Inconnu,Boinali Said
0,Inconnu,Inconnu,Didier Gonzales
0,Gironde,Inconnu,Christophe Caresche
0,Doubs,Inconnu,Frédéric Barbier
0,Bas-Rhin,Inconnu,Thierry Michels
0,Var,Inconnu,Olivier Audibert Troin
0,La,Inconnu,Philippe Naillet
0,Seine,Inconnu,Sabine Rubin
0,Seine,Inconnu,Laurent Dominati
0,Marne,Inconnu,Catherine Vautrin
0,Seine-Inférieure,Inconnu,Denys Robiliard
0,Haute-Garonne,Inconnu,Jean-Luc Moudenc
0,Inconnu,Inconnu,Vincent Peillon
0,Bas-Rhin,Inconnu,Jean-Philippe Maurer
0,Inconnu,Inconnu,Laurence Abeille
